STUDY_ID	SAMPLE_ID	HLA-A	HLA-B	HLA-C
brca_tcga_pub	TCGA-BH-A0H9-01	-1.5132	-1.4899	-1.711
brca_tcga_pub	TCGA-AO-A0J9-01	-0.3313	-0.2497	0.6591
brca_tcga_pub	TCGA-AO-A12G-01	-0.8011	-0.7761	-0.8526
brca_tcga_pub	TCGA-A2-A0SY-01	-0.7034	-0.3255	-0.9753
brca_tcga_pub	TCGA-BH-A0E7-01	-0.7737	-0.9333	-0.8675
brca_tcga_pub	TCGA-AO-A03M-01	1.3832	1.9401	0.9668
brca_tcga_pub	TCGA-BH-A0BV-01	1.3383	1.0638	1.2243
brca_tcga_pub	TCGA-BH-A0B8-01	-1.2094	-0.8893	-1.456
brca_tcga_pub	TCGA-A2-A0CZ-01	0.1477	0.2956	0.3248
brca_tcga_pub	TCGA-A2-A0SU-01	-0.1984	-0.094	-0.1754
brca_tcga_pub	TCGA-AO-A12E-01	0.0137	0.1944	-0.0758
brca_tcga_pub	TCGA-E2-A106-01	-0.292	0.0532	0.0618
brca_tcga_pub	TCGA-A2-A0CV-01	-0.4308	-0.5563	-0.6299
brca_tcga_pub	TCGA-AO-A12C-01	-1.04	-1.2955	-1.29
brca_tcga_pub	TCGA-B6-A0RG-01	-1.4555	-1.3135	-1.5554
brca_tcga_pub	TCGA-A2-A0CS-01	-0.3167	-0.2103	0.52
brca_tcga_pub	TCGA-A2-A0EO-01	-0.1174	-0.2598	-0.4553
brca_tcga_pub	TCGA-A2-A0CQ-01	-0.6537	-0.7812	-0.6354
brca_tcga_pub	TCGA-A2-A0EN-01	0.5746	0.94	0.6616
brca_tcga_pub	TCGA-AO-A12A-01	0.8379	0.0283	0.6035
brca_tcga_pub	TCGA-A2-A0CP-01	-0.8681	-0.8078	-0.8664
brca_tcga_pub	TCGA-AO-A126-01	-0.4163	-0.687	-0.2013
brca_tcga_pub	TCGA-AO-A125-01	-0.3485	-0.5278	0.0194
brca_tcga_pub	TCGA-A2-A0EM-01	-0.3572	0.2542	-0.124
brca_tcga_pub	TCGA-A2-A04N-01	-2.2084	-1.8608	-1.2124
brca_tcga_pub	TCGA-AQ-A04L-01	-1.6805	-1.6577	-1.6508
brca_tcga_pub	TCGA-B6-A0IO-01	1.3972	1.0139	1.1743
brca_tcga_pub	TCGA-B6-A0IP-01	-0.001	-0.3034	-0.0677
brca_tcga_pub	TCGA-B6-A0WZ-01	-0.2353	-0.5802	0.4828
brca_tcga_pub	TCGA-B6-A0I5-01	-1.6035	-1.641	-0.6692
brca_tcga_pub	TCGA-B6-A0RV-01	-0.1348	0.6182	0.1101
brca_tcga_pub	TCGA-B6-A0RO-01	1.0292	0.9686	0.8441
brca_tcga_pub	TCGA-B6-A0RN-01	-0.9229	-0.5066	-1.1633
brca_tcga_pub	TCGA-B6-A0WT-01	0.3799	0.5788	0.4374
brca_tcga_pub	TCGA-B6-A0IA-01	-0.0596	-0.6048	0.5929
brca_tcga_pub	TCGA-B6-A0RI-01	-0.0021	-0.2401	-0.1577
brca_tcga_pub	TCGA-A1-A0SE-01	-1.1469	-1.2872	-1.3986
brca_tcga_pub	TCGA-A2-A0EX-01	-0.9209	-0.654	-1.3223
brca_tcga_pub	TCGA-AO-A0JJ-01	0.5633	0.5648	0.3625
brca_tcga_pub	TCGA-E2-A105-01	-1.1832	-1.1373	-1.1799
brca_tcga_pub	TCGA-A1-A0SD-01	-0.9636	-0.387	-0.3169
brca_tcga_pub	TCGA-A1-A0SH-01	-0.3712	-0.1203	-0.4294
brca_tcga_pub	TCGA-A1-A0SJ-01	-0.668	-0.2674	-0.5432
brca_tcga_pub	TCGA-A8-A06P-01	-0.8824	-1.0622	-1.2054
brca_tcga_pub	TCGA-A8-A06T-01	1.0147	1.1765	0.9869
brca_tcga_pub	TCGA-A8-A06Y-01	-0.3289	0.1578	0.1504
brca_tcga_pub	TCGA-A8-A07E-01	-0.4018	-0.2251	-0.5231
brca_tcga_pub	TCGA-A8-A07F-01	0.2627	0.8544	0.5762
brca_tcga_pub	TCGA-A8-A07G-01	0.1487	0.7208	0.5377
