STUDY_ID	SAMPLE_ID	CD274
brca_tcga	TCGA-GM-A2DM-01	-0.4439
brca_tcga	TCGA-GM-A2DN-01	0.498
brca_tcga	TCGA-AC-A2QH-01	-0.5692
brca_tcga	TCGA-AR-A2LH-01	0.3556
brca_tcga	TCGA-AR-A2LN-01	0.1659
brca_tcga	TCGA-AR-A2LO-01	0.078
brca_tcga	TCGA-AR-A2LQ-01	-0.3618
brca_tcga	TCGA-AR-A2LR-01	-0.5576
brca_tcga	TCGA-B6-A2IU-01	-0.0609
brca_tcga	TCGA-BH-A2L8-01	0.0229
brca_tcga	TCGA-E9-A2JT-01	1.1903
brca_tcga	TCGA-GM-A2D9-01	-0.4914
brca_tcga	TCGA-GM-A2DA-01	-0.3204
brca_tcga	TCGA-GM-A2DB-01	-0.3412
brca_tcga	TCGA-GM-A2DC-01	-0.5522
brca_tcga	TCGA-GM-A2DI-01	1.36
brca_tcga	TCGA-GM-A2DL-01	-0.2382
brca_tcga	TCGA-GM-A2DO-01	0.4257
brca_tcga	TCGA-HN-A2NL-01	-0.4738
brca_tcga	TCGA-AC-A2FE-01	0.1166
brca_tcga	TCGA-AC-A2FM-01	-0.6213
brca_tcga	TCGA-AC-A2QI-01	-0.4204
brca_tcga	TCGA-AC-A2QJ-01	-0.693
brca_tcga	TCGA-AC-A3BB-01	-0.3592
brca_tcga	TCGA-AR-A2LJ-01	-0.5565
brca_tcga	TCGA-BH-A0B6-01	1.694
brca_tcga	TCGA-E2-A1LE-01	-0.4841
brca_tcga	TCGA-E2-A2P5-01	-0.3825
brca_tcga	TCGA-E2-A2P6-01	-0.4002
brca_tcga	TCGA-A2-A3KC-01	-0.1981
brca_tcga	TCGA-A2-A3KD-01	-0.445
brca_tcga	TCGA-A7-A3IZ-01	-0.4898
brca_tcga	TCGA-A7-A3J0-01	-0.1005
brca_tcga	TCGA-A7-A3J1-01	0.6309
brca_tcga	TCGA-AC-A23G-01	-0.1163
brca_tcga	TCGA-AC-A3HN-01	0.092
brca_tcga	TCGA-C8-A3M8-01	-0.5729
brca_tcga	TCGA-E2-A3DX-01	-0.0256
brca_tcga	TCGA-E9-A3HO-01	-0.3057
brca_tcga	TCGA-A7-A2KD-01	-0.0634
brca_tcga	TCGA-A7-A3IY-01	-0.3933
brca_tcga	TCGA-AC-A2BK-01	-0.4324
brca_tcga	TCGA-AC-A2BM-01	-0.2417
brca_tcga	TCGA-AC-A3OD-01	0.1607
brca_tcga	TCGA-B6-A0I1-01	-0.6375
brca_tcga	TCGA-C8-A3M7-01	-0.2497
brca_tcga	TCGA-E9-A3Q9-01	-0.3577
brca_tcga	TCGA-EW-A1PC-01	0.4015
brca_tcga	TCGA-EW-A2FR-01	0.066
brca_tcga	TCGA-GI-A2C9-01	-0.0771
brca_tcga	TCGA-GM-A3NY-01	-0.4997
brca_tcga	TCGA-A2-A0CK-01	-0.5283
brca_tcga	TCGA-A2-A0CO-01	0.2477
brca_tcga	TCGA-A2-A0CR-01	-0.5113
brca_tcga	TCGA-A7-A13H-01	0.4978
brca_tcga	TCGA-A7-A3RF-01	-0.5981
brca_tcga	TCGA-AC-A3EH-01	-0.4262
brca_tcga	TCGA-AC-A3TM-01	-0.4983
brca_tcga	TCGA-AC-A3TN-01	-0.6528
brca_tcga	TCGA-AC-A3W5-01	-0.1107
brca_tcga	TCGA-AC-A3W6-01	-0.3339
brca_tcga	TCGA-AC-A3W7-01	-0.3074
brca_tcga	TCGA-AR-A1AM-01	-0.3216
brca_tcga	TCGA-BH-A28O-01	-0.3144
brca_tcga	TCGA-E2-A14U-01	-0.4657
brca_tcga	TCGA-E9-A3QA-01	3.2512
brca_tcga	TCGA-EW-A3U0-01	1.1689
brca_tcga	TCGA-GM-A3NW-01	-0.5028
brca_tcga	TCGA-A2-A0EP-01	1.0526
brca_tcga	TCGA-A2-A3XS-01	-0.5099
brca_tcga	TCGA-A2-A3XT-01	-0.0917
brca_tcga	TCGA-A2-A3XU-01	-0.693
brca_tcga	TCGA-AC-A3QP-01	-0.611
brca_tcga	TCGA-AC-A3YJ-01	-0.5694
brca_tcga	TCGA-E9-A3X8-01	-0.6196
brca_tcga	TCGA-GM-A3XL-01	0.2943
brca_tcga	TCGA-GM-A3XN-01	-0.4647
brca_tcga	TCGA-JL-A3YX-01	-0.5801
brca_tcga	TCGA-A2-A3XV-01	-0.6653
brca_tcga	TCGA-A2-A3XW-01	-0.541
brca_tcga	TCGA-A2-A3XX-01	-0.5092
brca_tcga	TCGA-A2-A3XY-01	0.5548
brca_tcga	TCGA-A2-A3XZ-01	-0.1166
brca_tcga	TCGA-A2-A3Y0-01	0.6097
brca_tcga	TCGA-AC-A3YI-01	1.0668
brca_tcga	TCGA-B6-A3ZX-01	-0.1906
brca_tcga	TCGA-B6-A400-01	0.343
brca_tcga	TCGA-B6-A401-01	-0.4215
brca_tcga	TCGA-B6-A402-01	-0.5794
brca_tcga	TCGA-B6-A40B-01	-0.5077
brca_tcga	TCGA-B6-A40C-01	-0.44
brca_tcga	TCGA-D8-A3Z6-01	-0.5243
brca_tcga	TCGA-JL-A3YW-01	1.1225
brca_tcga	TCGA-A7-A425-01	-0.5853
brca_tcga	TCGA-A7-A426-01	-0.4254
brca_tcga	TCGA-B6-A408-01	-0.3018
brca_tcga	TCGA-B6-A409-01	-0.6043
brca_tcga	TCGA-BH-A42T-01	-0.6041
brca_tcga	TCGA-BH-A42U-01	-0.3916
brca_tcga	TCGA-BH-A42V-01	-0.3497
brca_tcga	TCGA-D8-A3Z5-01	-0.4597
brca_tcga	TCGA-EW-A3E8-01	-0.0508
brca_tcga	TCGA-EW-A423-01	-0.5943
brca_tcga	TCGA-GM-A3XG-01	-0.6186
brca_tcga	TCGA-LL-A440-01	0.0076
brca_tcga	TCGA-LL-A441-01	-0.0042
brca_tcga	TCGA-A2-A4RW-01	-0.4334
brca_tcga	TCGA-A2-A4RX-01	-0.247
brca_tcga	TCGA-A2-A4RY-01	-0.2603
brca_tcga	TCGA-A2-A4S0-01	-0.4468
brca_tcga	TCGA-A2-A4S1-01	-0.6747
brca_tcga	TCGA-A2-A4S2-01	1.5036
brca_tcga	TCGA-A2-A4S3-01	-0.2661
brca_tcga	TCGA-A7-A4SA-01	0.4191
brca_tcga	TCGA-A7-A4SB-01	-0.5823
brca_tcga	TCGA-A7-A4SD-01	1.0995
brca_tcga	TCGA-A7-A4SE-01	-0.2275
brca_tcga	TCGA-A7-A4SF-01	-0.3343
brca_tcga	TCGA-AQ-A54N-01	-0.693
brca_tcga	TCGA-AQ-A54O-01	-0.6097
brca_tcga	TCGA-D8-A4Z1-01	-0.4728
brca_tcga	TCGA-E9-A54X-01	-0.661
brca_tcga	TCGA-E9-A54Y-01	-0.6295
brca_tcga	TCGA-GM-A4E0-01	-0.0788
brca_tcga	TCGA-LL-A50Y-01	-0.3886
brca_tcga	TCGA-LQ-A4E4-01	-0.5753
brca_tcga	TCGA-MS-A51U-01	0.1125
brca_tcga	TCGA-A7-A56D-01	-0.5212
brca_tcga	TCGA-AR-A5QM-01	-0.1392
brca_tcga	TCGA-BH-A5IZ-01	-0.5144
brca_tcga	TCGA-BH-A5J0-01	-0.4147
brca_tcga	TCGA-E9-A5FK-01	-0.3211
brca_tcga	TCGA-E9-A5FL-01	-0.5406
brca_tcga	TCGA-HN-A2OB-01	-0.3941
brca_tcga	TCGA-OK-A5Q2-01	-0.2851
brca_tcga	TCGA-OL-A5D6-01	-0.5501
brca_tcga	TCGA-OL-A5D7-01	0.0961
brca_tcga	TCGA-OL-A5D8-01	-0.1786
brca_tcga	TCGA-OL-A5DA-01	-0.497
brca_tcga	TCGA-PE-A5DC-01	-0.4629
brca_tcga	TCGA-PE-A5DD-01	-0.4585
brca_tcga	TCGA-PE-A5DE-01	0.9548
brca_tcga	TCGA-A7-A5ZV-01	-0.4891
