STUDY_ID	SAMPLE_ID	JAK1	JAK2	STAT1	STAT3	IRF1	IFNGR1	IFNG
brca_tcga	TCGA-D8-A1XJ-01	-0.8495	-0.789	-0.5954	-1.0478	-0.7584	0.0529	-0.347
brca_tcga	TCGA-D8-A1XK-01	-0.3855	2.723	1.5629	0.8528	0.1015	0.5017	1.1187
brca_tcga	TCGA-D8-A1XL-01	-1.4931	-0.2092	2.5902	-1.027	1.2305	-0.9811	0.6913
brca_tcga	TCGA-D8-A1XM-01	1.157	0.3431	0.8147	2.9214	-0.4231	-0.2495	-0.205
brca_tcga	TCGA-D8-A1XO-01	1.0967	1.0063	-0.2464	0.7318	-0.2828	0.2725	-0.2896
brca_tcga	TCGA-D8-A1XQ-01	-0.7592	-0.0564	0.921	-1.6277	1.6497	1.4566	0.4195
brca_tcga	TCGA-D8-A1XR-01	-0.6191	0.0892	-0.8619	1.1029	-0.5182	-0.3052	-0.3596
brca_tcga	TCGA-D8-A1XS-01	-0.5651	-0.1631	-0.5323	1.3685	-0.4398	-0.2671	-0.3106
brca_tcga	TCGA-D8-A1XT-01	1.8356	1.0411	1.4202	-1.2161	-0.3877	3.8033	-0.2267
brca_tcga	TCGA-D8-A1XU-01	-0.4642	-0.5419	-0.1463	-0.5443	-0.0365	0.3348	-0.3236
brca_tcga	TCGA-D8-A1XV-01	-0.4337	-0.8158	-0.8173	0.9723	-0.7231	-0.3402	-0.3596
brca_tcga	TCGA-D8-A1XW-01	-0.0221	2.1913	-0.0475	-1.1172	-0.4389	0.3219	-0.0823
brca_tcga	TCGA-D8-A1XY-01	-0.25	-0.1516	0.4216	2.1896	-0.3175	0.7217	-0.3319
brca_tcga	TCGA-D8-A1XZ-01	-0.9129	-0.4588	0.0041	-1.4178	-0.3599	0.3704	-0.2305
brca_tcga	TCGA-D8-A1Y0-01	0.6032	1.2131	0.2883	0.2077	0.9113	-0.1908	0.0724
brca_tcga	TCGA-D8-A1Y1-01	-1.658	0.3981	-0.8015	-1.2322	-0.2526	-0.6392	-0.3037
brca_tcga	TCGA-E2-A1LG-01	-1.5456	-0.8231	2.6819	-0.1407	1.4415	-0.2171	-0.2439
brca_tcga	TCGA-E9-A1N4-01	0.1861	2.8534	-0.6161	0.5001	-0.2183	-0.5681	-0.3286
brca_tcga	TCGA-E9-A1NE-01	1.1501	1.6367	2.2574	-0.3626	0.9871	0.0738	1.9548
brca_tcga	TCGA-E9-A1NG-01	0.7703	-0.0802	-0.3281	0.525	-0.3866	0.7618	-0.3214
brca_tcga	TCGA-E9-A1R3-01	0.0941	-0.4531	-0.5482	0.4062	-0.0604	1.0332	-0.2652
brca_tcga	TCGA-E9-A1R5-01	-0.7545	-0.764	-0.6807	0.547	-0.4789	0.471	-0.3596
brca_tcga	TCGA-E9-A1R7-01	-0.741	-0.8576	-0.6684	-1.232	-1.0376	0.2659	-0.3596
brca_tcga	TCGA-EW-A1PH-01	-1.1004	-0.8533	1.9063	-0.922	-0.6403	0.4799	-0.1786
brca_tcga	TCGA-AC-A23E-01	0.0662	0.4004	-0.5395	1.0916	-0.3998	0.871	-0.3596
brca_tcga	TCGA-AC-A23H-01	-0.2486	0.7996	-0.1073	-1.3257	-0.8667	1.0152	-0.3222
brca_tcga	TCGA-BH-A204-01	-0.8685	-0.3327	-0.6184	-0.7848	-1.0813	-0.1412	-0.3406
brca_tcga	TCGA-BH-A208-01	1.2724	-0.0877	-0.4707	-0.2654	-0.6203	1.4598	-0.1954
brca_tcga	TCGA-BH-A209-01	0.2201	1.2394	4.5194	-0.9743	1.6002	0.0834	1.8712
brca_tcga	TCGA-D8-A1X9-01	0.7048	-0.4115	3.0601	1.0184	0.1532	-0.9536	-0.116
brca_tcga	TCGA-D8-A1Y2-01	-0.5601	-0.6013	0.0055	0.5086	0.0746	1.1314	-0.1518
brca_tcga	TCGA-D8-A1Y3-01	-2.0655	-1.3009	-0.2196	-1.6195	-0.0979	-0.8121	-0.1614
brca_tcga	TCGA-E2-A1LI-01	-0.1958	-0.5723	-0.0043	-0.1896	0.3661	0.0713	-0.0576
brca_tcga	TCGA-E9-A1N3-01	-0.9338	-1.0118	0.0187	-0.2011	-0.6972	-0.7078	-0.3596
brca_tcga	TCGA-E9-A1NC-01	-0.8329	-0.8245	0.7916	-1.5168	0.9536	-0.1259	0.4134
brca_tcga	TCGA-E9-A1RB-01	-0.2101	-0.7871	-0.7226	-0.7561	-0.498	-0.8023	-0.3487
brca_tcga	TCGA-E9-A1RC-01	0.0149	-1.1725	-0.8154	0.9206	-0.4934	-0.7317	-0.3596
brca_tcga	TCGA-E9-A1RD-01	-0.2957	-0.2777	0.5328	0.4483	-0.0622	-0.4354	-0.3273
brca_tcga	TCGA-E9-A1RE-01	-1.4167	0.8248	-0.8262	-1.7212	-0.9826	-1.3553	-0.2863
brca_tcga	TCGA-E9-A1RF-01	0.2885	-0.6212	0.3856	-0.9886	0.3745	-0.8483	0.2836
brca_tcga	TCGA-E9-A226-01	-0.2299	-0.0686	0.1698	-1.1209	-0.771	1.1167	-0.3596
brca_tcga	TCGA-E9-A227-01	0.3968	0.9831	-0.5364	0.8475	-0.5111	0.4007	-0.2282
brca_tcga	TCGA-E9-A228-01	0.5449	-0.8693	0.6237	-1.7429	-0.8868	-0.8874	-0.3596
brca_tcga	TCGA-E9-A229-01	0.8712	1.6178	1.3336	-0.343	-0.3214	-0.2962	-0.2445
brca_tcga	TCGA-E9-A22A-01	-0.4324	-0.5457	1.5202	-1.45	0.1063	-0.0666	0.2457
brca_tcga	TCGA-E9-A22B-01	-0.6672	-1.0847	0.3998	-0.3087	-0.0463	0.167	-0.3061
brca_tcga	TCGA-E9-A22D-01	0.3007	3.1949	3.0014	-0.6347	4.4701	-0.6196	7.1112
brca_tcga	TCGA-E9-A22E-01	0.5615	-0.5871	0.1675	-1.1554	0.0863	0.2725	-0.1558
brca_tcga	TCGA-E9-A22G-01	-0.4052	-0.8771	-0.4555	-0.0174	-0.2723	1.5113	-0.3075
brca_tcga	TCGA-E9-A22H-01	1.4079	2.2166	2.9739	1.1712	-0.1231	-0.4262	-0.2012
brca_tcga	TCGA-A2-A25B-01	3.4304	0.0439	0.1504	-1.1558	-0.3593	-0.9231	-0.2009
brca_tcga	TCGA-A2-A25C-01	0.0592	1.9816	1.5004	-0.2914	-0.2249	0.3318	-0.2857
brca_tcga	TCGA-A2-A25E-01	-0.7045	-0.9065	-0.199	-0.6087	-0.797	-1.2698	-0.3201
brca_tcga	TCGA-A2-A25F-01	2.5492	3.8372	3.3864	0.4245	2.8175	2.4977	3.9004
brca_tcga	TCGA-A7-A26E-01	0.214	1.1695	-0.459	1.145	-0.5042	0.2441	-0.3263
brca_tcga	TCGA-A7-A26F-01	3.2713	1.6055	0.858	0.43	0.2281	6.7592	-0.2497
brca_tcga	TCGA-A7-A26G-01	1.0851	0.6941	0.1629	-0.2635	-0.5249	2.8461	-0.0844
brca_tcga	TCGA-A7-A26H-01	0.7474	0.3163	0.2773	3.023	-0.5011	-0.1918	-0.2721
brca_tcga	TCGA-A7-A26I-01	0.0993	-0.0426	0.236	-1.1396	-0.8339	-0.064	-0.3133
brca_tcga	TCGA-A7-A26J-01	0.01	0.5305	0.8603	1.284	-0.4865	-0.6466	-0.336
brca_tcga	TCGA-AC-A23C-01	0.1143	0.2789	0.3011	-0.8887	0.0992	0.9863	-0.0321
brca_tcga	TCGA-AR-A24H-01	-0.2475	-0.0799	2.2539	-0.8966	-0.3258	-0.8014	-0.0763
brca_tcga	TCGA-AR-A24K-01	-0.6365	-0.5588	-0.8005	1.2381	-0.4786	-0.8756	-0.3473
